- vncls_none
annul.01 vncls_106
anoint.01 vncls_9
antagonize.01 vncls_31
antique.01 vncls_13
apostatize.01 vncls_45
appall.01 vncls_31
appeal.03 vncls_31
appear.01 vncls_48
appease.01 vncls_31
applaud.01 vncls_33
applique.01 vncls_25
apply.02 vncls_105
appoint.01 vncls_29
apportion.01 vncls_13
appraise.01 vncls_54
appreciate.01 vncls_45
apprentice.01 vncls_29
apprise.01 vncls_37
approach.01 vncls_51
appropriate.01 vncls_13
approve.01 vncls_31
approximate.01 vncls_34
arch.01 vncls_40
archive.01 vncls_9
argue.02 vncls_36
arise.01 vncls_48
arm.01 vncls_13
armor.01 vncls_13
aromatize.01 vncls_9
arouse.01 vncls_31
arrange.01 vncls_26
arrive.01 vncls_51
articulate.01 vncls_37
ascend.01 vncls_51
ascertain.01 vncls_84
ask.01 vncls_37
asphalt.01 vncls_9
asphyxiate.01 vncls_40
assail.01 vncls_33
assassinate.01 vncls_42
assault.01 vncls_33
assemble.01 vncls_26
assert.01 vncls_48
assess.01 vncls_34
assign.01 vncls_13
assimilate.01 vncls_26
assist.01 vncls_72
associate.01 vncls_22
assuage.01 vncls_31
assume.01 vncls_93
assure.01 vncls_37
astonish.01 vncls_31
astound.01 vncls_31
atomize.01 vncls_45
atrophy.01 vncls_45
attach.01 vncls_22
attack.01 vncls_33
attain.01 vncls_13
attempt.01 vncls_61
attenuate.01 vncls_45
attest.01 vncls_29
attire.01 vncls_41
auction.02 vncls_54
audit.01 vncls_34
augment.01 vncls_45
autograph.01 vncls_25
aver.01 vncls_29
average.01 vncls_108
avoid.01 vncls_52
awake.01 vncls_45
awaken.01 vncls_45
award.01 vncls_13
awe.01 vncls_31
baa.01 vncls_38
babble.01 vncls_37
backbite.01 vncls_33
backpack.01 vncls_51
badger.01 vncls_58
baffle.01 vncls_31
bag.01 vncls_9
bail.01 vncls_10
bait.03 vncls_9
bake.01 vncls_45
balance.01 vncls_47
balk.01 vncls_40
ball.01 vncls_26
balloon.01 vncls_51
bamboozle.01 vncls_59
ban.01 vncls_67
band.01 vncls_22
bandage.01 vncls_9
bang.01 vncls_43
banish.01 vncls_10
bank.01 vncls_9
banquet.01 vncls_39
banter.01 vncls_36
baptize.02 vncls_29
bar.01 vncls_67
barbecue.01 vncls_26
barbeque.01 vncls_45
bare.01 vncls_40
bargain.01 vncls_36
barge.01 vncls_11
bark.01 vncls_37
barter.01 vncls_13
base.02 vncls_97
bash.01 vncls_18
bask.01 vncls_31
baste.01 vncls_9
bat.01 vncls_40
bathe.01 vncls_9
batter.01 vncls_18
battle.01 vncls_36
bawl.01 vncls_37
bay.01 vncls_38
bayonet.01 vncls_18
beach.01 vncls_9
bead.01 vncls_43
beam.01 vncls_43
bear.01 vncls_31
beard.02 vncls_10
beat.01 vncls_18
beautify.01 vncls_45
beckon.01 vncls_40
bed.02 vncls_9
bedew.01 vncls_45
beep.01 vncls_43
befall.01 vncls_48
befuddle.01 vncls_31
beg.01 vncls_58
beget.01 vncls_27
begin.01 vncls_55
beguile.01 vncls_31
behave.01 vncls_29
behead.01 vncls_42
behold.01 vncls_30
belch.01 vncls_40
believe.01 vncls_31
belittle.01 vncls_33
bellow.01 vncls_37
belt.01 vncls_26
bench.01 vncls_9
bend.01 vncls_47
bequeath.01 vncls_13
bereave.01 vncls_10
berry.01 vncls_13
berth.01 vncls_9
beseech.01 vncls_60
bestrew.01 vncls_9
bestride.01 vncls_47
bet.01 vncls_54
betroth.01 vncls_13
bewail.01 vncls_31
beware.01 vncls_31
bewilder.01 vncls_31
bewitch.01 vncls_31
bias.01 vncls_96
bicker.01 vncls_36
bicycle.01 vncls_51
biff.01 vncls_18
bifurcate.01 vncls_45
bike.01 vncls_51
bilk.01 vncls_10
bill.01 vncls_54
billet.01 vncls_9
billow.01 vncls_47
bin.01 vncls_9
bind.01 vncls_9
birch.01 vncls_18
birdnest.01 vncls_13
bisect.01 vncls_45
bitch.01 vncls_37
bite.01 vncls_18
bivouac.01 vncls_46
blab.01 vncls_37
blabber.01 vncls_37
black.01 vncls_40
blackberry.01 vncls_13
blacken.01 vncls_45
blackmail.01 vncls_59
blacktop.01 vncls_9
blame.01 vncls_33
blanch.01 vncls_40
blanket.01 vncls_9
blare.01 vncls_43
blaspheme.01 vncls_33
blast.01 vncls_43
blat.01 vncls_38
blaze.01 vncls_43
bleach.01 vncls_45
bleat.01 vncls_38
bleed.01 vncls_40
blend.01 vncls_22
bless.01 vncls_33
blight.01 vncls_44
blindfold.01 vncls_9
blink.01 vncls_40
blister.01 vncls_45
blitz.01 vncls_44
block.01 vncls_9
blockade.01 vncls_9
bloody.01 vncls_45
bloom.01 vncls_45
blossom.01 vncls_47
blot.01 vncls_9
blow.01 vncls_23
blubber.01 vncls_40
bludgeon.01 vncls_18
bluff.01 vncls_59
blunt.01 vncls_45
blur.01 vncls_45
blurt.01 vncls_37
blush.01 vncls_40
bluster.01 vncls_37
board.01 vncls_46
boast.01 vncls_37
boat.01 vncls_51
bob.01 vncls_47
bobsled.01 vncls_51
boggle.01 vncls_31
boil.01 vncls_45
bolshevize.01 vncls_45
bolt.01 vncls_51
bombard.01 vncls_9
bond.01 vncls_22
bone.01 vncls_10
bonk.01 vncls_18
boogie.01 vncls_51
book.01 vncls_13
boom.01 vncls_43
boost.01 vncls_102
bop.01 vncls_51
border.01 vncls_47
bore.01 vncls_21
borrow.01 vncls_13
boss.01 vncls_29
botch.01 vncls_45
bother.01 vncls_31
bottle.01 vncls_9
bottlefeed.01 vncls_39
bounce.01 vncls_11
bound.01 vncls_51
bow.01 vncls_40
bowl.01 vncls_51
box.01 vncls_9
boycott.01 vncls_52
bracket.01 vncls_29
brag.01 vncls_37
braid.01 vncls_41
brain.01 vncls_18
braise.01 vncls_45
branch.01 vncls_23
brand.01 vncls_25
brave.01 vncls_98
brawl.01 vncls_36
bray.01 vncls_38
bread.01 vncls_9
break.01 vncls_23
breakfast.01 vncls_39
breastfeed.01 vncls_39
breathe.01 vncls_40
brew.01 vncls_26
bribe.01 vncls_59
brick.01 vncls_9
bridge.01 vncls_47
bridle.01 vncls_9
brief.01 vncls_37
brighten.01 vncls_45
bring.01 vncls_11
bristle.01 vncls_47
broadcast.01 vncls_37
broaden.01 vncls_45
broil.01 vncls_26
bronze.01 vncls_9
browbeat.01 vncls_31
brown.01 vncls_45
bruise.01 vncls_21
brunch.01 vncls_39
brush.01 vncls_10
bubble.01 vncls_43
buck.01 vncls_49
buckle.01 vncls_22
bud.01 vncls_45
buff.01 vncls_10
buffet.01 vncls_17
bug.01 vncls_31
build.01 vncls_26
bulge.01 vncls_47
bullet.01 vncls_42
bullock.01 vncls_59
bully.01 vncls_29
bump.01 vncls_18
bundle.01 vncls_22
bunk.02 vncls_46
bunt.01 vncls_17
burble.01 vncls_37
burden.01 vncls_13
burgeon.01 vncls_45
burgle.01 vncls_10
burl.01 vncls_10
burn.01 vncls_43
burp.01 vncls_40
burr.01 vncls_43
burrow.01 vncls_35
burst.01 vncls_48
bury.01 vncls_9
bus.01 vncls_11
bushwhack.01 vncls_42
bustle.01 vncls_47
butcher.01 vncls_42
butler.01 vncls_29
butter.01 vncls_9
button.01 vncls_22
buttonhole.01 vncls_9
buy.01 vncls_13
buzz.01 vncls_38
cab.01 vncls_51
cabbage.01 vncls_10
cable.01 vncls_37
cackle.01 vncls_38
caddy.01 vncls_29
cadge.01 vncls_10
cage.01 vncls_9
cajole.01 vncls_59
calcify.01 vncls_45
calibrate.01 vncls_54
calk.01 vncls_9
call.01 vncls_29
calm.01 vncls_31
calumniate.01 vncls_33
calve.01 vncls_28
camouflage.01 vncls_9
camp.01 vncls_46
can.01 vncls_9
cancan.01 vncls_51
cane.01 vncls_18
canoe.01 vncls_51
canter.01 vncls_51
canvass.01 vncls_35
cap.01 vncls_9
capacitate.01 vncls_45
capsize.01 vncls_45
captain.01 vncls_29
captivate.01 vncls_31
capture.01 vncls_10
caramelize.01 vncls_45
caravan.01 vncls_51
carbonify.01 vncls_45
carbonize.01 vncls_45
care.01 vncls_31
caress.01 vncls_20
carjack.01 vncls_10
carol.01 vncls_37
carom.01 vncls_51
carpet.01 vncls_9
carry.01 vncls_11
cart.01 vncls_11
carve.01 vncls_21
cascade.01 vncls_47
case.01 vncls_9
cash.01 vncls_13
cast.01 vncls_17
castigate.01 vncls_33
castrate.01 vncls_45
catalogue.01 vncls_29
catapult.01 vncls_17
catch.01 vncls_13
categorize.01 vncls_29
catholicize.01 vncls_45
catnap.01 vncls_40
caulk.01 vncls_9
cause.01 vncls_27
cauterize.01 vncls_45
caution.01 vncls_37
cavort.01 vncls_51
caw.01 vncls_38
cease.01 vncls_55
cede.01 vncls_13
celebrate.01 vncls_33
cellar.01 vncls_9
cement.01 vncls_22
censure.01 vncls_33
center.01 vncls_87
centralize.01 vncls_45
certify.01 vncls_29
chagrin.01 vncls_31
chain.01 vncls_22
champion.01 vncls_29
chance.01 vncls_94
change.01 vncls_26
channel.01 vncls_9
chant.01 vncls_37
chaperone.01 vncls_29
char.01 vncls_45
characterize.01 vncls_29
charbroil.01 vncls_45
charcoal.01 vncls_25
charge.01 vncls_54
chariot.01 vncls_51
charm.01 vncls_31
chart.01 vncls_25
charter.01 vncls_13
chase.01 vncls_51
chasten.01 vncls_33
chastise.01 vncls_33
chat.01 vncls_37
chatter.01 vncls_37
chauffeur.01 vncls_29
cheapen.01 vncls_45
cheat.01 vncls_10
check.01 vncls_35
cheep.01 vncls_38
cheer.01 vncls_31
cherish.01 vncls_31
chew.01 vncls_39
chicken.01 vncls_82
chide.01 vncls_33
chill.01 vncls_45
chime.01 vncls_43
chip.01 vncls_21
chir.01 vncls_43
chirp.01 vncls_38
chirrup.01 vncls_38
chisel.01 vncls_26
chitchat.01 vncls_37
chitter.01 vncls_38
chlorinate.01 vncls_45
choke.01 vncls_40
chomp.01 vncls_39
choose.01 vncls_13
chop.01 vncls_21
choreograph.01 vncls_26
chortle.01 vncls_40
christen.01 vncls_29
christianize.01 vncls_45
chrome.01 vncls_9
chronicle.01 vncls_25
chuck.01 vncls_17
chuckle.01 vncls_40
chug.01 vncls_43
chunk.01 vncls_29
churn.01 vncls_26
cinch.01 vncls_22
circle.02 vncls_47
circularize.01 vncls_13
circumcise.01 vncls_45
circumvent.01 vncls_52
civilize.01 vncls_45
clack.01 vncls_43
clad.01 vncls_41
claim.01 vncls_37
clam.01 vncls_13
clamber.01 vncls_51
clamp.01 vncls_22
clang.01 vncls_43
clank.01 vncls_43
clap.01 vncls_43
clarify.01 vncls_45
clash.01 vncls_36
clasp.01 vncls_15
class.01 vncls_29
classify.01 vncls_29
clatter.01 vncls_43
claw.02 vncls_18
clay.01 vncls_9
clean.01 vncls_10
cleanse.01 vncls_10
clear.01 vncls_10
cleave.01 vncls_21
clench.01 vncls_40
clerk.01 vncls_29
click.01 vncls_43
climb.01 vncls_51
cling.01 vncls_22
clink.01 vncls_43
clip.01 vncls_21
cloak.01 vncls_9
clobber.01 vncls_18
clock.01 vncls_54
clog.01 vncls_51
cloister.01 vncls_9
clomp.01 vncls_43
close.01 vncls_40
clothe.01 vncls_41
cloud.01 vncls_45
clout.01 vncls_18
cloy.01 vncls_31
club.01 vncls_18
cluck.01 vncls_38
clump.03 vncls_51
clunk.01 vncls_43
cluster.01 vncls_22
clutch.01 vncls_15
clutter.01 vncls_9
coach.01 vncls_29
coagulate.01 vncls_45
coal.02 vncls_9
coalesce.01 vncls_22
coarsen.01 vncls_45
coast.01 vncls_51
coat.01 vncls_9
coax.01 vncls_59
cock.01 vncls_40
coddle.02 vncls_45
code.01 vncls_29
coerce.01 vncls_59
coexist.01 vncls_36
cohabit.01 vncls_36
cohere.01 vncls_89
coil.01 vncls_9
coin.01 vncls_26
coincide.01 vncls_22
coldcream.01 vncls_41
collaborate.01 vncls_36
collapse.01 vncls_45
collate.01 vncls_22
collect.01 vncls_47
collide.01 vncls_18
collude.01 vncls_71
color.01 vncls_24
comb.01 vncls_35
combat.01 vncls_36
combine.01 vncls_22
combust.01 vncls_45
come.01 vncls_51
comfort.01 vncls_31
command.02 vncls_60
commandeer.01 vncls_10
commence.01 vncls_55
commend.01 vncls_33
comment.01 vncls_37
commercialize.01 vncls_45
commingle.01 vncls_22
commiserate.01 vncls_36
commission.01 vncls_59
commit.01 vncls_79
communicate.01 vncls_36
compare.01 vncls_22
compel.01 vncls_59
compensate.01 vncls_33
compete.01 vncls_36
compile.01 vncls_26
complain.01 vncls_37
complete.01 vncls_55
compliment.01 vncls_33
compose.01 vncls_26
compound.01 vncls_22
comprehend.01 vncls_87
compress.01 vncls_26
compromise.01 vncls_36
compute.01 vncls_26
con.01 vncls_10
concatenate.01 vncls_22
conceal.01 vncls_16
concede.03 vncls_13
concentrate.01 vncls_87
concern.01 vncls_31
conclude.01 vncls_97
concoct.01 vncls_26
concur.01 vncls_36
condemn.01 vncls_33
condense.01 vncls_45
condition.01 vncls_41
condone.01 vncls_33
conduct.01 vncls_51
confabulate.01 vncls_36
confederate.01 vncls_22
confer.01 vncls_37
confess.01 vncls_37
confide.01 vncls_37
confine.01 vncls_92
confirm.01 vncls_29
confiscate.01 vncls_10
conflict.01 vncls_36
conform.01 vncls_26
confound.01 vncls_31
confront.01 vncls_98
confuse.01 vncls_22
conga.01 vncls_51
congratulate.01 vncls_33
congregate.01 vncls_47
conjecture.01 vncls_29
conjoin.01 vncls_22
conk.01 vncls_18
connect.01 vncls_22
conquer.01 vncls_42
consent.01 vncls_89
conserve.01 vncls_13
consider.01 vncls_29
console.01 vncls_31
consolidate.01 vncls_22
consort.01 vncls_36
conspire.01 vncls_71
constellate.02 vncls_29
constitute.01 vncls_55
constitutionalize.01 vncls_55
constrain.01 vncls_76
constrict.01 vncls_45
constringe.01 vncls_45
construct.01 vncls_26
consult.01 vncls_36
consume.01 vncls_39
contain.01 vncls_54
contaminate.01 vncls_9
contend.01 vncls_29
content.01 vncls_31
contextualize.01 vncls_45
continue.01 vncls_55
contort.01 vncls_26
contract.01 vncls_45
contrast.01 vncls_22
contribute.01 vncls_13
contrive.02 vncls_26
convene.01 vncls_47
converge.01 vncls_87
converse.01 vncls_37
convert.01 vncls_26
convey.01 vncls_37
convince.01 vncls_31
convulse.01 vncls_40
coo.01 vncls_38
cook.01 vncls_26
cool.01 vncls_45
coop.01 vncls_9
cooperate.01 vncls_36
cop.01 vncls_10
cope.01 vncls_83
copy.01 vncls_25
copyright.01 vncls_101
core.01 vncls_10
cork.01 vncls_9
corral.01 vncls_9
correct.01 vncls_45
correlate.01 vncls_22
correspond.01 vncls_36
corroborate.01 vncls_78
corrode.01 vncls_45
corrugate.01 vncls_45
corrupt.01 vncls_45
cosh.01 vncls_18
cost.01 vncls_54
cough.01 vncls_40
counsel.01 vncls_37
count.01 vncls_34
couple.01 vncls_22
court.01 vncls_36
cover.02 vncls_9
covet.01 vncls_32
cow.01 vncls_31
cower.01 vncls_40
cowrite.01 vncls_26
cox.01 vncls_29
cozen.01 vncls_10
crab.01 vncls_13
crack.01 vncls_43
crackle.01 vncls_43
craft.01 vncls_26
cram.01 vncls_9
crane.01 vncls_40
crash.01 vncls_18
crate.01 vncls_9
crave.01 vncls_32
crawl.01 vncls_47
crayon.01 vncls_25
creak.01 vncls_43
cream.01 vncls_22
crease.01 vncls_45
create.01 vncls_26
credential.01 vncls_101
credit.01 vncls_13
creep.01 vncls_51
cremate.01 vncls_45
crepitate.01 vncls_43
crew.01 vncls_29
crimp.01 vncls_41
crimson.01 vncls_45
cringe.01 vncls_31
crinkle.01 vncls_45
cripple.01 vncls_29
crisp.01 vncls_45
criticize.01 vncls_33
crochet.01 vncls_26
crook.01 vncls_40
croon.01 vncls_37
crop.01 vncls_21
cross.01 vncls_40
crouch.01 vncls_50
crow.01 vncls_37
crowd.01 vncls_9
crown.01 vncls_29
crucify.01 vncls_42
cruise.01 vncls_51
crumb.01 vncls_9
crumble.01 vncls_45
crumple.01 vncls_45
crunch.01 vncls_21
crush.01 vncls_21
crust.01 vncls_45
cry.01 vncls_37
crystallize.01 vncls_45
cub.01 vncls_28
cube.01 vncls_21
cuckold.01 vncls_29
cuckoo.01 vncls_38
cuddle.01 vncls_36
cudgel.01 vncls_18
cuff.01 vncls_18
cull.01 vncls_10
cultivate.01 vncls_26
curb.01 vncls_42
curdle.01 vncls_45
cure.01 vncls_10
curl.01 vncls_9
curry.01 vncls_41
curse.01 vncls_33
curtain.01 vncls_16
curtsey.01 vncls_40
curve.01 vncls_26
cut.01 vncls_31
cycle.01 vncls_51
dab.01 vncls_10
dally.01 vncls_53
dam.01 vncls_9
damage.01 vncls_44
damn.01 vncls_33
dampen.01 vncls_45
dance.01 vncls_51
dangle.01 vncls_9
dapple.01 vncls_9
dare.01 vncls_59
darken.01 vncls_45
dart.01 vncls_51
dash.01 vncls_18
date.01 vncls_25
daub.01 vncls_9
daunt.01 vncls_31
dawdle.01 vncls_53
dawn.01 vncls_48
daze.01 vncls_31
dazzle.01 vncls_31
deaccent.01 vncls_10
deafen.01 vncls_45
deal.01 vncls_83
debark.01 vncls_10
debate.01 vncls_36
debone.01 vncls_10
debowel.01 vncls_10
debug.01 vncls_10
deburr.01 vncls_10
decamp.01 vncls_51
decapitate.01 vncls_42
decay.01 vncls_45
deceive.01 vncls_59
decelerate.01 vncls_45
decentralize.01 vncls_45
decide.01 vncls_36
decimate.01 vncls_44
deck.01 vncls_9
declare.01 vncls_29
declaw.01 vncls_10
decline.01 vncls_45
decoct.01 vncls_22
decompose.01 vncls_45
decompress.01 vncls_45
decontaminate.01 vncls_10
decorate.01 vncls_9
decouple.01 vncls_23
decrease.01 vncls_45
decree.01 vncls_29
decry.01 vncls_33
dedicate.01 vncls_79
deduce.01 vncls_84
deduct.01 vncls_10
deem.01 vncls_29
deepen.01 vncls_45
defame.01 vncls_33
defang.01 vncls_10
defat.01 vncls_10
defeather.01 vncls_10
defecate.01 vncls_40
defend.01 vncls_85
defer.02 vncls_95
define.01 vncls_29
deflate.01 vncls_45
deflea.01 vncls_10
deflesh.01 vncls_10
deflower.01 vncls_10
defoam.01 vncls_10
defog.01 vncls_10
deforest.01 vncls_10
deform.01 vncls_26
defraud.01 vncls_10
defrost.01 vncls_45
defuzz.01 vncls_10
degas.01 vncls_10
degenerate.01 vncls_45
degerm.01 vncls_10
deglaze.01 vncls_10
degrade.01 vncls_45
degrease.01 vncls_10
degrit.01 vncls_10
degum.01 vncls_10
degut.01 vncls_10
dehair.01 vncls_10
dehead.01 vncls_10
dehorn.01 vncls_10
dehull.01 vncls_10
dehumidify.01 vncls_45
dehusk.01 vncls_10
dehydrate.01 vncls_45
deice.01 vncls_10
deify.01 vncls_31
deink.01 vncls_10
deject.01 vncls_31
delay.01 vncls_53
delete.01 vncls_10
deliberate.01 vncls_36
delight.01 vncls_31
delint.01 vncls_10
deliver.01 vncls_11
delouse.01 vncls_10
delude.01 vncls_59
deluge.01 vncls_9
deluster.01 vncls_10
delve.01 vncls_35
demagnetize.01 vncls_45
demand.01 vncls_60
demast.01 vncls_10
demobilize.01 vncls_45
democratize.01 vncls_45
demolish.01 vncls_31
demonstrate.01 vncls_78
demoralize.01 vncls_31
denigrate.01 vncls_33
denounce.01 vncls_33
dent.01 vncls_21
denude.01 vncls_10
deny.01 vncls_29
depart.01 vncls_51
depend.01 vncls_70
depict.01 vncls_29
deplete.01 vncls_10
deplore.01 vncls_31
depopulate.01 vncls_10
deport.01 vncls_10
depose.01 vncls_10
deposit.01 vncls_9
deprecate.01 vncls_33
depreciate.01 vncls_45
depress.01 vncls_31
depressurize.01 vncls_45
deprive.01 vncls_10
derat.01 vncls_10
derib.01 vncls_10
deride.01 vncls_33
derind.01 vncls_10
derive.01 vncls_26
desalinate.01 vncls_45
desalt.01 vncls_10
descale.01 vncls_10
descend.01 vncls_51
describe.01 vncls_29
descry.01 vncls_30
desecrate.01 vncls_44
desert.01 vncls_51
desex.01 vncls_10
desiccate.01 vncls_45
design.01 vncls_26
designate.01 vncls_29
desire.01 vncls_32
desist.01 vncls_69
despair.01 vncls_31
despise.01 vncls_31
despoil.01 vncls_10
desprout.01 vncls_10
destabilize.01 vncls_45
destarch.01 vncls_10
destress.01 vncls_10
destroy.01 vncls_44
detach.01 vncls_23
detail.01 vncls_29
detassel.01 vncls_10
detect.01 vncls_30
deter.01 vncls_67
deteriorate.01 vncls_45
determine.01 vncls_84
detest.01 vncls_31
detonate.01 vncls_45
detusk.01 vncls_10
devalue.01 vncls_45
devastate.01 vncls_44
devein.01 vncls_10
develop.01 vncls_48
deviate.01 vncls_23
devise.01 vncls_55
devolve.01 vncls_13
devote.01 vncls_79
devour.01 vncls_39
dewater.01 vncls_10
dewax.01 vncls_10
deworm.01 vncls_10
diagnose.01 vncls_29
diaper.01 vncls_9
dice.01 vncls_21
dicker.01 vncls_36
dictate.01 vncls_37
die.01 vncls_48
differ.01 vncls_36
differentiate.01 vncls_23
diffract.01 vncls_45
diffuse.01 vncls_45
dig.01 vncls_19
dilute.01 vncls_45
dim.01 vncls_45
diminish.01 vncls_45
dine.01 vncls_39
ding.01 vncls_43
dip.01 vncls_45
direct.01 vncls_26
dirty.01 vncls_9
disabuse.01 vncls_10
disagree.01 vncls_36
disappear.01 vncls_48
disappoint.01 vncls_31
disapprove.01 vncls_31
disarm.01 vncls_10
disassemble.01 vncls_23
disassociate.01 vncls_23
disbelieve.01 vncls_31
disburse.01 vncls_13
discard.01 vncls_17
discern.01 vncls_30
discharge.01 vncls_10
disclose.01 vncls_37
discombobulate.01 vncls_31
discomfit.01 vncls_31
discompose.01 vncls_31
disconcert.01 vncls_31
disconnect.01 vncls_23
discontinue.01 vncls_55
discourage.01 vncls_67
discover.01 vncls_84
discriminate.02 vncls_71
disdain.01 vncls_31
disembark.01 vncls_51
disembowel.01 vncls_10
disencumber.01 vncls_10
disenfranchise.01 vncls_42
disengage.01 vncls_10
disentangle.01 vncls_23
disfigure.01 vncls_44
disgorge.01 vncls_10
disgrace.01 vncls_31
disgruntle.01 vncls_31
disguise.01 vncls_9
disgust.01 vncls_31
dishearten.01 vncls_31
dishonour.01 vncls_31
disillusion.01 vncls_31
disintegrate.01 vncls_45
dislike.01 vncls_31
dislocate.01 vncls_45
dislodge.01 vncls_10
dismantle.01 vncls_23
dismay.01 vncls_31
dismiss.01 vncls_10
dismount.01 vncls_23
disorganize.01 vncls_45
disparage.01 vncls_33
dispatch.01 vncls_11
disperse.01 vncls_45
dispirit.01 vncls_31
display.01 vncls_48
displease.01 vncls_31
dispossess.01 vncls_10
dispute.01 vncls_36
disquiet.01 vncls_31
disrobe.01 vncls_41
dissatisfy.01 vncls_31
disseminate.01 vncls_13
dissent.01 vncls_36
dissimilate.01 vncls_23
dissipate.01 vncls_45
dissociate.01 vncls_23
dissolve.01 vncls_45
dissuade.01 vncls_67
distemper.01 vncls_24
distend.01 vncls_45
distil.01 vncls_10
distill.01 vncls_10
distort.01 vncls_26
distract.01 vncls_31
distress.01 vncls_31
distribute.01 vncls_13
distrust.01 vncls_31
disturb.01 vncls_31
dither.01 vncls_53
dive.01 vncls_35
diverge.01 vncls_23
diversify.01 vncls_45
divert.01 vncls_31
divest.01 vncls_10
divide.01 vncls_108
divorce.01 vncls_36
divulge.01 vncls_37
dock.01 vncls_9
doctor.01 vncls_29
document.01 vncls_25
dodder.01 vncls_51
dodge.01 vncls_52
doff.01 vncls_41
dogsled.01 vncls_51
doll.01 vncls_41
domesticate.01 vncls_45
dominate.01 vncls_47
don.01 vncls_41
donate.01 vncls_13
dong.01 vncls_43
doodle.01 vncls_25
dope.01 vncls_9
dot.01 vncls_9
double.01 vncls_45
doubt.01 vncls_29
douse.01 vncls_9
doze.01 vncls_40
drag.01 vncls_11
drain.01 vncls_10
drape.01 vncls_9
draw.01 vncls_25
drawl.01 vncls_37
dread.01 vncls_31
dream.01 vncls_62
dredge.01 vncls_35
drench.01 vncls_9
dress.01 vncls_41
dribble.01 vncls_40
drift.01 vncls_47
drill.01 vncls_21
drink.01 vncls_39
drip.01 vncls_9
drive.01 vncls_11
drizzle.01 vncls_9
drone.01 vncls_38
drool.01 vncls_40
droop.01 vncls_47
drop.01 vncls_9
drown.02 vncls_40
drowse.01 vncls_40
drug.01 vncls_9
drum.02 vncls_18
dry.02 vncls_45
drydock.01 vncls_9
dub.01 vncls_29
duck.01 vncls_52
duel.01 vncls_36
dull.01 vncls_45
dumbfound.01 vncls_31
dump.01 vncls_9
dupe.01 vncls_59
duplicate.01 vncls_25
dust.01 vncls_9
dwell.01 vncls_46
dye.01 vncls_24
earn.01 vncls_13
ease.01 vncls_45
eat.01 vncls_39
echo.01 vncls_47
eddy.01 vncls_47
edge.03 vncls_47
educate.01 vncls_37
effeminate.01 vncls_45
effervesce.01 vncls_47
eject.01 vncls_10
elaborate.01 vncls_37
elate.01 vncls_31
elbow.01 vncls_18
elect.01 vncls_29
electrify.01 vncls_31
electrocute.01 vncls_42
elevate.01 vncls_9
eliminate.01 vncls_10
elucidate.01 vncls_37
elude.01 vncls_52
emaciate.01 vncls_45
